Time,Busy UPFs
1798621.0,28
1798722.0,28
1798902.0,28
1798913.0,28
1798989.0,28
1799045.0,28
1799048.0,28
1799123.0,28
1799423.0,28
1799451.0,28
1799528.0,28
1799621.0,28
1799633.0,28
1800000.0,28
1800192.0,28
1800310.0,28
1800360.0,28
1800371.0,28
1800414.0,28
1800451.0,28
1800457.0,28
1800491.0,28
1800567.0,28
1800662.0,28
1800800.0,29
1800879.0,29
1800922.0,28
1801004.0,28
1801031.0,28
1801115.0,28
1801123.0,28
1801133.0,28
1801139.0,28
1801153.0,28
1801229.0,28
1801405.0,28
1801421.0,28
1801645.0,28
1801649.0,28
1801784.0,27
1801911.0,27
1802108.0,27
1802109.0,27
1802533.0,27
1802535.0,27
1802540.0,26
1802919.0,26
1802933.0,26
1802957.0,26
1802958.0,26
1803009.0,26
1803174.0,26
1803205.0,26
1803219.0,26
1803265.0,26
1803281.0,26
1803522.0,26
1803551.0,26
1803577.0,26
1803611.0,26
1803655.0,26
1803765.0,26
1803791.0,26
1804098.0,26
1804123.0,26
1804215.0,26
1804752.0,26
1804772.0,26
1804786.0,26
1804861.0,27
1805022.0,27
1805068.0,27
1805073.0,26
1805103.0,25
1805203.0,25
1805372.0,25
1805401.0,25
1805501.0,25
1805655.0,25
1805727.0,25
1805820.0,25
1805841.0,25
1806156.0,25
1806163.0,25
1806344.0,25
1806345.0,25
1806447.0,25
1806519.0,25
1806559.0,25
1806581.0,25
1806712.0,25
1806786.0,25
1806894.0,25
1806963.0,25
1807061.0,25
1807109.0,25
1807166.0,25
1807178.0,25
1807238.0,25
1807304.0,25
1807366.0,25
1807440.0,25
1807490.0,25
1807545.0,25
1807558.0,25
1807610.0,25
1807690.0,25
1807723.0,25
1807744.0,25
1807849.0,25
1807905.0,25
1807945.0,25
1808090.0,25
1808112.0,25
1808209.0,25
1808277.0,24
1808281.0,25
1808291.0,25
1808426.0,25
1808448.0,25
1808482.0,25
1808542.0,25
1808558.0,25
1808589.0,25
1808722.0,25
1808860.0,25
1808863.0,25
1809038.0,25
1809072.0,25
1809082.0,25
1809217.0,26
1809282.0,26
1809408.0,26
1809594.0,26
1809717.0,26
1810252.0,26
1810260.0,26
1810368.0,26
1810499.0,26
1810836.0,26
1810850.0,26
1811003.0,26
1811021.0,26
1811153.0,26
1811288.0,26
1811366.0,26
1811434.0,26
1811451.0,26
1811519.0,26
1811557.0,26
1811681.0,26
1811704.0,26
1811890.0,26
1811931.0,26
1812261.0,26
1812325.0,26
1812333.0,26
1812367.0,26
1812435.0,26
1812442.0,26
1812478.0,26
1812620.0,26
1812655.0,26
1812696.0,27
1812702.0,27
1812948.0,27
1812993.0,27
1813127.0,27
1813365.0,27
1813400.0,27
1813535.0,27
1813620.0,27
1813639.0,27
1813651.0,27
1813680.0,27
1813726.0,27
1813754.0,27
1813878.0,27
1813993.0,27
1814087.0,27
1814102.0,27
1814154.0,27
1814179.0,27
1814355.0,27
1814382.0,27
1814421.0,27
1814484.0,27
1814682.0,27
1814687.0,27
1814755.0,27
1814839.0,27
1814900.0,27
1814955.0,27
1815086.0,27
1815087.0,27
1815128.0,27
1815144.0,27
1815146.0,27
1815206.0,27
1815324.0,27
1815379.0,27
1815399.0,27
1815422.0,27
1815449.0,27
1815692.0,27
1815719.0,27
1815818.0,27
1815997.0,27
1815998.0,27
1816011.0,27
1816087.0,27
1816187.0,27
1816262.0,27
1816417.0,27
1816524.0,27
1816552.0,27
1816705.0,27
1816749.0,27
1816843.0,27
1816844.0,27
1816922.0,27
1817027.0,27
1817038.0,27
1817087.0,27
1817282.0,27
1817324.0,27
1817327.0,27
1817397.0,27
1817463.0,27
1817638.0,27
1817792.0,27
1817848.0,27
1817945.0,27
